team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
Haders gonna Hate,2024-05-03,5,4,2,6,3,9,9,12,2,1,6,3,3,65,38,27,13,11,12
Hobo Ken,2024-05-03,7,10,4,7,6,4,5,4,9,10,7,13,5,91,43,48,7,9,7
Mighty Banshees,2024-05-03,14,10,13,12,4,10,10,9,7,8,1,4,12,114,73,41,4,3,9
Nola's Ark,2024-05-03,8,7,10,11,14,6,6,6,3,2,1,2,4,80,62,18,10,5,13
The Flying Rutschmen,2024-05-03,9,3,3,9,1,11,8,2,12,3,8,5,10,84,44,40,8,7,10
Lux Æterna,2024-05-03,2,6,5,3,8,3,2,2,11,11,8,6,10,77,29,48,12,13,7
Ya Gotta Beliebe,2024-05-03,6,2,7,10,1,5,3,6,10,12,10,6,6,84,34,50,8,12,4
Rochelle Rochelle the Musical,2024-05-03,9,7,11,2,4,11,12,9,5,13,10,6,6,105,56,49,6,6,5
HaberMetrics,2024-05-04,2,4,8,1,9,8,6,3,5,10,14,12,1,83,38,45,9,11,9
Boba Chette,2024-05-04,1,1,1,2,10,1,1,1,1,5,4,1,6,35,17,18,14,14,14
Bug Monty,2024-05-04,13,12,7,14,13,14,14,10,12,7,12,10,6,144,87,57,1,1,2
FightinHorse&Buggies,2024-05-04,4,7,10,5,11,2,4,14,7,14,13,14,2,107,43,64,5,9,1
Forever Jung,2024-05-04,9,13,14,13,12,13,13,13,14,3,1,7,14,139,87,52,2,1,3
Friends O'Clyde,2024-05-04,12,13,12,8,7,7,10,7,6,6,1,10,13,112,69,43,4,4,10
Haders gonna Hate,2024-05-04,6,5,5,6,3,10,11,10,2,1,1,3,2,65,46,19,13,7,13
Hobo Ken,2024-05-04,7,11,3,7,5,4,5,3,8,12,7,12,5,89,42,47,8,10,6
Mighty Banshees,2024-05-04,14,9,13,12,5,9,8,10,11,8,6,4,12,121,70,51,3,3,4
Nola's Ark,2024-05-04,8,7,9,10,14,6,7,7,3,2,4,2,4,83,61,22,9,5,12
The Flying Rutschmen,2024-05-04,10,3,2,9,1,11,9,3,13,3,11,7,11,93,45,48,7,8,5
Lux Æterna,2024-05-04,3,6,4,2,8,3,3,2,10,9,8,5,9,72,29,43,12,13,10
Ya Gotta Beliebe,2024-05-04,5,2,6,10,2,5,2,3,8,10,9,7,9,78,32,46,11,12,7
Rochelle Rochelle the Musical,2024-05-04,11,9,11,2,4,12,12,9,4,13,9,5,6,107,61,46,5,5,7
HaberMetrics,2024-05-05,2,4,7,1,9,8,6,3,5,10,14,12,1,82,37,45,8,10,9
Boba Chette,2024-05-05,1,1,1,2,10,1,1,1,1,4,1,1,6,31,17,14,14,14,14
Bug Monty,2024-05-05,13,14,8,14,13,14,14,10,13,5,10,9,6,143,90,53,2,1,3
FightinHorse&Buggies,2024-05-05,4,10,10,6,11,3,5,14,8,14,13,14,3,115,49,66,4,7,1
Forever Jung,2024-05-05,8,12,14,12,12,12,13,13,14,6,5,11,14,146,83,63,1,2,2
Friends O'Clyde,2024-05-05,12,12,11,8,6,5,8,6,6,7,1,9,12,103,62,41,6,5,10
Haders gonna Hate,2024-05-05,10,5,4,5,3,10,11,11,2,1,5,3,2,72,48,24,12,8,12
Hobo Ken,2024-05-05,5,7,3,7,5,2,3,3,10,11,7,12,5,80,32,48,10,12,5
Mighty Banshees,2024-05-05,14,7,13,12,6,9,10,11,11,8,1,4,12,118,71,47,3,3,7
Nola's Ark,2024-05-05,7,7,9,10,14,5,9,6,3,2,1,2,4,79,61,18,11,6,13
The Flying Rutschmen,2024-05-05,5,1,2,9,1,11,7,3,12,3,12,5,11,82,36,46,8,11,8
Lux Æterna,2024-05-05,3,6,5,3,6,3,3,2,9,9,8,5,8,70,29,41,13,13,10
Ya Gotta Beliebe,2024-05-05,9,3,6,11,2,5,2,6,7,12,10,5,10,88,38,50,7,9,4
Rochelle Rochelle the Musical,2024-05-05,11,10,12,3,4,13,12,9,4,13,9,5,8,113,65,48,5,4,5
HaberMetrics,2024-05-06,2,4,7,1,8,7,6,3,4,10,14,10,1,77,35,42,11,10,10
Boba Chette,2024-05-06,1,1,1,2,10,1,1,1,1,4,4,1,6,34,17,17,14,14,14
Bug Monty,2024-05-06,13,14,8,14,13,14,14,10,12,6,9,8,6,141,90,51,1,1,3
FightinHorse&Buggies,2024-05-06,5,8,9,7,11,2,5,14,9,14,13,14,2,113,47,66,5,7,1
Forever Jung,2024-05-06,5,11,14,12,12,13,13,13,14,5,4,10,14,140,80,60,2,2,2
Friends O'Clyde,2024-05-06,12,13,10,8,6,7,8,8,7,7,6,10,12,114,64,50,4,5,4
Haders gonna Hate,2024-05-06,8,5,4,5,3,10,11,11,2,1,1,3,2,66,46,20,13,8,12
Hobo Ken,2024-05-06,5,8,3,6,5,2,3,3,10,11,7,13,5,81,32,49,10,12,7
Mighty Banshees,2024-05-06,14,7,12,13,7,9,9,11,11,8,2,4,13,120,71,49,3,3,7
Nola's Ark,2024-05-06,8,11,11,10,14,5,10,6,3,2,2,2,4,88,69,19,7,4,13
The Flying Rutschmen,2024-05-06,4,1,2,9,1,11,7,3,13,3,11,8,10,83,35,48,9,10,9
Lux Æterna,2024-05-06,3,6,5,3,8,4,3,2,8,9,8,4,6,69,32,37,12,12,11
Ya Gotta Beliebe,2024-05-06,8,3,6,11,2,5,2,6,6,12,11,4,11,87,37,50,8,9,4
Rochelle Rochelle the Musical,2024-05-06,11,8,12,3,4,12,12,9,5,13,10,4,9,112,62,50,6,6,4
HaberMetrics,2024-05-07,2,4,6,1,6,6,6,3,4,9,14,8,1,70,31,39,12,12,11
Boba Chette,2024-05-07,1,1,2,2,10,1,1,1,1,4,2,1,6,33,18,15,14,14,14
Bug Monty,2024-05-07,13,14,8,14,13,14,14,10,13,6,9,8,6,142,90,52,1,1,4
FightinHorse&Buggies,2024-05-07,7,9,10,6,11,3,5,14,8,14,13,14,2,116,51,65,4,7,1
Forever Jung,2024-05-07,4,10,14,12,12,12,12,13,14,5,2,8,14,132,76,56,2,3,3
Friends O'Clyde,2024-05-07,12,12,9,8,6,7,8,6,6,7,6,8,12,107,62,45,6,6,9
Haders gonna Hate,2024-05-07,7,4,4,4,3,10,11,10,2,1,1,3,2,62,43,19,13,8,12
Hobo Ken,2024-05-07,6,8,3,6,4,2,2,3,8,11,7,13,5,78,31,47,11,12,5
Mighty Banshees,2024-05-07,14,7,12,13,8,9,9,10,11,8,2,4,12,119,72,47,3,4,5
Nola's Ark,2024-05-07,10,13,13,9,14,8,10,6,3,2,2,2,4,96,77,19,7,2,12
The Flying Rutschmen,2024-05-07,5,1,1,9,1,11,7,5,12,3,11,4,9,79,35,44,10,10,10
Lux Æterna,2024-05-07,3,6,6,2,9,4,4,2,10,10,9,8,8,81,34,47,9,11,5
Ya Gotta Beliebe,2024-05-07,7,3,5,11,2,5,3,8,7,13,12,7,11,94,36,58,8,9,2
Rochelle Rochelle the Musical,2024-05-07,11,10,11,5,4,13,12,9,5,12,8,4,9,113,66,47,5,5,5
HaberMetrics,2024-05-08,2,4,5,1,6,6,5,5,5,8,13,12,1,73,29,44,12,13,8
Boba Chette,2024-05-08,1,1,2,2,10,1,1,1,1,3,1,1,5,30,18,12,14,14,14
Bug Monty,2024-05-08,13,14,8,14,13,14,14,10,13,6,10,8,6,143,90,53,1,1,4
FightinHorse&Buggies,2024-05-08,10,11,10,6,11,4,7,14,10,14,13,14,2,126,59,67,3,7,1
Forever Jung,2024-05-08,4,9,12,12,12,10,12,13,14,5,3,12,14,132,71,61,2,3,2
Friends O'Clyde,2024-05-08,12,11,9,8,7,7,8,7,6,7,3,9,11,105,62,43,6,6,10
Haders gonna Hate,2024-05-08,8,4,7,5,4,10,11,10,2,1,1,3,3,69,49,20,13,8,12
Hobo Ken,2024-05-08,6,7,3,6,4,2,2,3,9,11,7,9,6,75,30,45,11,12,6
Mighty Banshees,2024-05-08,14,8,12,12,7,9,9,10,8,8,3,4,11,115,71,44,4,3,8
Nola's Ark,2024-05-08,8,13,14,9,14,8,10,5,3,2,3,2,4,95,76,19,7,2,13
The Flying Rutschmen,2024-05-08,4,2,1,11,1,12,6,3,12,4,11,4,9,80,37,43,9,9,10
Lux Æterna,2024-05-08,3,6,6,2,9,3,4,2,11,10,9,9,6,80,33,47,9,10,5
Ya Gotta Beliebe,2024-05-08,6,3,4,10,2,5,3,8,7,13,12,7,11,91,33,58,8,10,3
Rochelle Rochelle the Musical,2024-05-08,11,9,11,4,3,13,13,8,4,12,8,4,9,109,64,45,5,5,6
HaberMetrics,2024-05-09,2,5,5,1,5,6,6,4,5,8,13,12,1,73,30,43,12,13,9
Boba Chette,2024-05-09,1,1,2,2,10,1,1,1,1,3,2,1,5,31,18,13,14,14,14
Bug Monty,2024-05-09,13,13,8,14,13,14,14,10,12,6,10,7,6,140,89,51,1,1,4
FightinHorse&Buggies,2024-05-09,9,11,10,7,11,4,7,14,11,14,13,14,2,127,59,68,3,7,1
Forever Jung,2024-05-09,5,8,13,13,12,13,12,13,14,6,5,12,14,140,76,64,1,3,2
Friends O'Clyde,2024-05-09,12,11,9,8,8,7,8,7,6,5,3,9,11,104,63,41,5,5,11
Haders gonna Hate,2024-05-09,8,4,6,4,3,11,11,10,2,1,1,3,3,67,47,20,13,8,12
Hobo Ken,2024-05-09,7,6,3,6,5,2,2,3,8,12,7,9,8,78,31,47,11,12,6
Mighty Banshees,2024-05-09,14,9,12,12,7,9,9,12,9,9,3,4,11,120,72,48,4,4,5
Nola's Ark,2024-05-09,9,13,14,9,14,8,10,4,3,2,5,2,4,97,77,20,7,2,12
The Flying Rutschmen,2024-05-09,4,2,1,11,1,10,5,4,13,4,11,6,8,80,34,46,9,9,7
Lux Æterna,2024-05-09,3,6,7,2,9,3,4,2,10,10,9,9,6,80,34,46,9,9,7
Ya Gotta Beliebe,2024-05-09,6,3,4,9,2,5,3,9,7,13,11,7,11,90,32,58,8,11,3
Rochelle Rochelle the Musical,2024-05-09,9,9,11,4,3,12,13,8,4,11,8,4,8,104,61,43,5,6,9
HaberMetrics,2024-05-10,2,5,5,1,3,6,7,4,5,8,11,13,1,71,29,42,12,13,11
Boba Chette,2024-05-10,1,1,2,2,10,1,1,1,1,3,2,1,3,29,18,11,14,14,14
Bug Monty,2024-05-10,12,14,8,14,13,14,14,10,10,4,10,6,7,136,89,47,2,1,6
FightinHorse&Buggies,2024-05-10,9,9,9,7,11,3,6,14,12,14,11,14,2,121,54,67,3,7,1
Forever Jung,2024-05-10,5,7,12,13,12,13,12,13,14,6,5,11,14,137,74,63,1,3,2
Friends O'Clyde,2024-05-10,12,9,10,8,8,7,8,7,8,5,3,11,13,109,62,47,6,6,6
Haders gonna Hate,2024-05-10,7,4,6,4,3,11,11,11,2,1,1,3,3,67,46,21,13,8,12
Hobo Ken,2024-05-10,8,7,3,6,5,2,2,3,7,11,7,9,7,77,33,44,11,11,10
Mighty Banshees,2024-05-10,14,9,13,12,7,9,9,12,9,9,3,4,11,121,73,48,3,4,5
Nola's Ark,2024-05-10,9,12,14,9,14,8,9,5,3,2,5,2,3,95,75,20,7,2,13
The Flying Rutschmen,2024-05-10,4,2,1,11,1,10,5,5,13,7,14,6,10,89,34,55,8,10,3
Lux Æterna,2024-05-10,3,6,7,3,9,4,4,2,10,10,9,9,6,82,36,46,10,9,8
Ya Gotta Beliebe,2024-05-10,5,3,4,9,2,5,3,8,6,13,11,6,11,86,31,55,9,12,3
Rochelle Rochelle the Musical,2024-05-10,11,12,11,4,6,12,13,9,4,12,8,5,7,114,69,45,5,5,9
HaberMetrics,2024-05-11,2,5,5,1,3,5,6,4,6,8,10,13,1,69,27,42,12,13,11
Boba Chette,2024-05-11,1,1,2,2,10,1,1,1,1,2,1,1,3,27,18,9,14,14,14
Bug Monty,2024-05-11,13,12,8,14,13,14,14,10,8,6,10,8,7,137,88,49,1,1,6
FightinHorse&Buggies,2024-05-11,10,14,10,7,12,3,7,14,12,14,13,14,2,132,63,69,2,6,1
Forever Jung,2024-05-11,5,7,12,13,11,13,12,12,14,4,1,10,14,128,73,55,3,3,2
Friends O'Clyde,2024-05-11,12,8,9,8,5,7,8,6,7,5,5,10,13,103,57,46,6,7,8
Haders gonna Hate,2024-05-11,7,3,5,4,4,11,11,10,2,1,1,3,3,65,45,20,13,8,13
Hobo Ken,2024-05-11,8,10,3,6,5,2,5,3,10,11,7,12,7,89,39,50,8,9,5
Mighty Banshees,2024-05-11,14,9,13,12,7,9,9,12,11,9,4,5,12,126,73,53,4,3,3
Nola's Ark,2024-05-11,9,12,14,9,14,8,10,6,3,3,6,2,5,101,76,25,7,2,12
The Flying Rutschmen,2024-05-11,4,2,1,11,1,10,3,5,13,7,14,5,7,83,32,51,9,12,4
Lux Æterna,2024-05-11,3,6,7,5,9,4,2,2,9,10,9,8,6,80,36,44,11,10,10
Ya Gotta Beliebe,2024-05-11,6,3,3,10,2,6,3,6,4,13,10,5,11,82,33,49,10,11,6
Rochelle Rochelle the Musical,2024-05-11,10,10,11,3,7,12,13,9,5,12,8,4,7,111,66,45,5,5,9
HaberMetrics,2024-05-12,2,5,6,1,3,5,6,3,5,8,11,13,1,69,28,41,12,13,10
Boba Chette,2024-05-12,1,1,2,2,10,1,1,1,1,2,3,1,3,29,18,11,14,14,14
Bug Monty,2024-05-12,12,12,8,14,14,14,14,10,7,6,11,4,7,133,88,45,1,1,8
FightinHorse&Buggies,2024-05-12,10,12,10,8,12,3,7,14,11,13,10,14,2,126,62,64,3,6,1
Forever Jung,2024-05-12,5,7,11,13,11,13,12,11,14,3,2,8,13,123,72,51,4,3,5
Friends O'Clyde,2024-05-12,12,10,9,7,4,7,8,6,6,4,4,8,14,99,57,42,7,7,9
Haders gonna Hate,2024-05-12,8,3,5,4,5,11,10,12,2,1,1,3,3,68,46,22,13,8,13
Hobo Ken,2024-05-12,6,8,3,4,5,2,2,3,10,11,6,12,7,79,30,49,10,11,6
Mighty Banshees,2024-05-12,14,8,13,12,5,8,9,12,12,10,4,8,12,127,69,58,2,4,2
Nola's Ark,2024-05-12,10,14,14,10,13,9,11,7,3,5,7,2,5,110,81,29,6,2,12
The Flying Rutschmen,2024-05-12,4,2,1,11,1,10,4,5,12,7,13,4,7,81,33,48,9,10,7
Lux Æterna,2024-05-12,3,6,6,4,9,3,5,2,8,9,8,4,6,73,36,37,11,9,11
Ya Gotta Beliebe,2024-05-12,6,3,4,8,2,5,2,7,4,14,14,4,11,84,30,54,8,11,3
Rochelle Rochelle the Musical,2024-05-12,9,10,11,3,8,12,13,9,9,12,9,8,7,120,66,54,5,5,3
HaberMetrics,2024-05-13,2,5,7,1,3,5,5,3,4,6,11,13,1,66,28,38,13,12,10
Boba Chette,2024-05-13,1,1,2,2,10,1,1,1,1,2,3,1,4,30,18,12,14,14,14
Bug Monty,2024-05-13,12,10,8,14,14,14,14,13,10,6,12,7,9,143,86,57,1,1,2
FightinHorse&Buggies,2024-05-13,11,13,9,9,12,3,7,14,11,13,10,14,2,128,64,64,2,5,1
Forever Jung,2024-05-13,5,7,12,12,11,13,12,10,14,3,1,10,13,123,72,51,4,3,5
Friends O'Clyde,2024-05-13,12,10,10,7,4,7,8,6,8,5,5,11,14,107,58,49,6,7,7
Haders gonna Hate,2024-05-13,8,3,5,3,8,11,11,11,2,1,1,3,3,70,49,21,12,8,13
Hobo Ken,2024-05-13,4,7,3,3,5,2,2,4,9,11,6,11,7,74,26,48,10,13,9
Mighty Banshees,2024-05-13,14,7,13,12,6,9,10,11,11,10,4,7,12,126,71,55,3,4,3
Nola's Ark,2024-05-13,10,14,14,11,13,8,9,6,3,4,7,2,4,105,79,26,7,2,12
The Flying Rutschmen,2024-05-13,5,2,1,9,2,10,4,5,13,8,12,4,7,82,33,49,8,10,7
Lux Æterna,2024-05-13,3,6,5,6,9,4,5,2,7,9,8,4,4,72,38,34,11,9,11
Ya Gotta Beliebe,2024-05-13,7,3,4,8,1,6,3,6,5,12,12,4,11,82,32,50,8,11,6
Rochelle Rochelle the Musical,2024-05-13,9,10,11,3,7,12,12,9,6,14,8,7,10,118,64,54,5,5,4
HaberMetrics,2024-05-14,2,3,7,1,3,5,5,5,5,8,11,13,1,69,26,43,12,13,9
Boba Chette,2024-05-14,1,1,2,2,10,1,1,1,1,2,1,1,4,28,18,10,14,14,14
Bug Monty,2024-05-14,13,13,8,14,14,14,14,11,10,5,11,5,8,140,90,50,1,1,5
FightinHorse&Buggies,2024-05-14,11,12,9,9,12,4,7,14,13,12,7,14,2,126,64,62,3,5,1
Forever Jung,2024-05-14,5,8,12,12,11,13,13,11,14,3,3,10,13,128,74,54,2,3,3
Friends O'Clyde,2024-05-14,11,9,9,7,4,7,8,6,8,4,5,10,14,102,55,47,7,7,7
Haders gonna Hate,2024-05-14,6,3,5,3,7,10,9,11,2,1,1,3,3,64,43,21,13,8,13
Hobo Ken,2024-05-14,6,9,3,3,6,2,4,3,7,11,6,10,8,78,33,45,9,11,8
Mighty Banshees,2024-05-14,14,7,13,12,5,9,10,10,12,10,4,5,12,123,70,53,4,4,4
Nola's Ark,2024-05-14,10,13,14,11,13,8,11,7,3,5,10,2,5,112,80,32,6,2,12
The Flying Rutschmen,2024-05-14,4,2,1,9,1,11,6,4,9,7,14,4,5,77,34,43,10,9,9
Lux Æterna,2024-05-14,3,6,6,6,8,3,2,2,11,9,9,5,5,75,34,41,11,9,11
Ya Gotta Beliebe,2024-05-14,6,3,4,8,2,6,3,8,4,14,11,9,11,89,32,57,8,12,2
Rochelle Rochelle the Musical,2024-05-14,9,9,11,3,8,12,12,9,6,12,7,5,10,113,64,49,5,5,6
HaberMetrics,2024-05-15,2,4,5,1,3,5,4,4,5,8,14,13,1,69,24,45,11,13,9
Boba Chette,2024-05-15,1,1,2,2,10,1,1,1,1,2,3,1,7,33,18,15,14,14,14
Bug Monty,2024-05-15,13,12,8,14,14,14,14,11,9,7,12,4,7,139,89,50,1,1,6
FightinHorse&Buggies,2024-05-15,11,14,9,8,12,4,8,14,12,13,7,14,2,128,66,62,2,5,1
Forever Jung,2024-05-15,5,7,12,13,11,13,13,13,14,3,2,9,13,128,74,54,2,3,3
Friends O'Clyde,2024-05-15,11,11,9,7,5,8,9,6,12,4,3,11,13,109,60,49,6,7,7
Haders gonna Hate,2024-05-15,5,3,4,4,6,9,7,11,2,1,1,3,3,59,38,21,13,8,13
Hobo Ken,2024-05-15,5,10,3,3,7,2,4,3,6,11,6,11,9,80,34,46,9,9,8
Mighty Banshees,2024-05-15,14,7,13,12,4,10,11,9,9,10,5,7,12,123,71,52,4,4,5
Nola's Ark,2024-05-15,9,12,14,11,13,7,10,6,3,6,10,2,4,107,76,31,7,2,12
The Flying Rutschmen,2024-05-15,4,2,1,8,2,11,6,4,11,5,10,4,4,72,34,38,10,9,10
Lux Æterna,2024-05-15,3,6,7,4,8,3,2,2,8,9,8,4,4,68,33,35,12,12,11
Ya Gotta Beliebe,2024-05-15,8,4,5,8,1,5,3,8,4,12,12,7,11,88,34,54,8,9,3
Rochelle Rochelle the Musical,2024-05-15,9,9,9,4,9,12,12,9,7,14,8,9,9,120,64,56,5,6,2
HaberMetrics,2024-05-16,1,4,6,1,3,5,2,5,5,9,14,13,1,69,22,47,10,13,6
Boba Chette,2024-05-16,2,1,2,2,10,1,1,1,1,2,3,1,7,34,19,15,14,14,14
Bug Monty,2024-05-16,12,12,8,13,14,14,14,10,8,6,11,4,7,133,87,46,1,1,8
FightinHorse&Buggies,2024-05-16,12,13,9,8,12,4,8,14,12,13,7,14,2,128,66,62,4,5,1
Forever Jung,2024-05-16,8,7,12,14,11,13,13,13,14,3,2,8,13,131,78,53,2,2,4
Friends O'Clyde,2024-05-16,11,10,11,7,4,8,9,5,11,4,3,11,13,107,60,47,7,7,6
Haders gonna Hate,2024-05-16,5,3,4,4,6,9,7,10,2,1,1,2,3,57,38,19,13,8,13
Hobo Ken,2024-05-16,5,10,2,2,7,2,2,3,6,11,6,11,7,74,30,44,9,12,9
Mighty Banshees,2024-05-16,14,8,13,12,4,10,11,10,13,10,5,8,12,130,72,58,3,4,2
Nola's Ark,2024-05-16,9,13,14,11,13,7,10,7,3,6,11,2,4,110,77,33,6,3,12
The Flying Rutschmen,2024-05-16,4,1,1,8,1,11,6,4,10,5,10,4,4,69,32,37,10,11,10
Lux Æterna,2024-05-16,3,6,6,6,8,3,2,2,9,8,8,4,4,69,34,35,10,10,11
Ya Gotta Beliebe,2024-05-16,7,5,5,8,1,5,5,7,4,12,11,7,11,88,36,52,8,9,5
Rochelle Rochelle the Musical,2024-05-16,10,9,10,4,9,12,12,9,7,14,8,8,10,122,66,56,5,5,3
HaberMetrics,2024-05-17,2,4,7,1,3,5,5,5,5,5,11,13,1,67,27,40,11,13,11
Boba Chette,2024-05-17,1,1,2,2,9,1,1,1,1,2,3,1,7,32,17,15,14,14,14
Bug Monty,2024-05-17,12,12,8,13,14,14,14,9,8,5,10,4,9,132,87,45,2,1,7
FightinHorse&Buggies,2024-05-17,12,14,9,9,12,4,9,14,13,13,7,14,2,132,69,63,2,5,1
Forever Jung,2024-05-17,8,7,12,14,11,13,13,13,14,3,2,8,12,130,78,52,4,2,5
Friends O'Clyde,2024-05-17,11,10,11,7,3,9,10,6,11,4,3,11,12,108,61,47,7,7,6
Haders gonna Hate,2024-05-17,4,3,4,3,6,8,7,9,2,1,1,2,3,53,35,18,13,10,13
Hobo Ken,2024-05-17,6,10,3,5,7,2,3,3,7,11,6,11,7,81,36,45,9,8,7
Mighty Banshees,2024-05-17,14,8,13,12,5,10,11,12,12,10,5,8,14,134,73,61,1,3,2
Nola's Ark,2024-05-17,9,12,14,9,13,5,8,8,3,9,14,3,5,112,70,42,6,4,9
The Flying Rutschmen,2024-05-17,6,2,1,8,1,11,6,4,10,7,11,4,5,76,35,41,10,10,10
Lux Æterna,2024-05-17,3,6,6,5,8,3,2,2,6,8,8,4,3,64,33,31,12,12,12
Ya Gotta Beliebe,2024-05-17,5,4,5,11,2,5,4,6,4,12,13,7,11,89,36,53,8,8,4
Rochelle Rochelle the Musical,2024-05-17,10,9,10,3,10,12,12,9,9,14,8,8,9,123,66,57,5,6,3
HaberMetrics,2024-05-18,2,4,6,1,3,5,3,4,5,5,13,13,1,65,24,41,12,13,8
Boba Chette,2024-05-18,1,1,3,2,9,1,1,1,1,2,1,1,7,31,18,13,14,14,14
Bug Monty,2024-05-18,13,13,8,13,14,14,14,9,9,5,9,4,9,134,89,45,1,1,6
FightinHorse&Buggies,2024-05-18,12,14,9,8,12,4,10,14,12,12,7,14,2,130,69,61,3,5,2
Forever Jung,2024-05-18,7,7,12,14,10,13,13,11,14,3,1,10,12,127,76,51,5,2,4
Friends O'Clyde,2024-05-18,11,10,11,7,5,9,9,4,8,4,3,8,12,101,62,39,7,7,11
Haders gonna Hate,2024-05-18,4,1,4,2,6,8,6,11,2,1,3,3,3,54,31,23,13,12,13
Hobo Ken,2024-05-18,6,12,2,5,7,2,5,3,6,11,6,12,7,84,39,45,8,8,6
Mighty Banshees,2024-05-18,14,9,13,12,4,10,11,13,13,9,3,8,14,133,73,60,2,3,3
Nola's Ark,2024-05-18,10,10,13,10,13,6,8,8,3,8,14,2,5,110,70,40,6,4,9
The Flying Rutschmen,2024-05-18,8,1,1,8,1,11,7,4,11,7,10,4,4,77,37,40,10,9,9
Lux Æterna,2024-05-18,3,6,7,6,7,3,2,2,6,10,8,4,5,69,34,35,11,11,12
Ya Gotta Beliebe,2024-05-18,5,4,5,11,1,7,4,7,4,13,10,4,9,84,37,47,8,9,5
Rochelle Rochelle the Musical,2024-05-18,9,8,10,4,11,12,12,9,10,14,10,10,9,128,66,62,4,6,1
HaberMetrics,2024-05-19,2,4,6,1,3,6,4,5,5,6,13,13,1,69,26,43,11,13,7
Boba Chette,2024-05-19,1,3,3,2,9,1,1,1,1,2,2,1,6,33,20,13,14,14,14
Bug Monty,2024-05-19,13,13,8,12,14,14,14,9,11,4,7,5,11,135,88,47,1,1,6
FightinHorse&Buggies,2024-05-19,11,13,8,8,12,4,8,14,13,13,7,14,2,127,64,63,4,6,1
Forever Jung,2024-05-19,7,7,12,13,10,13,12,12,14,3,2,10,12,127,74,53,4,2,4
Friends O'Clyde,2024-05-19,12,10,10,7,5,7,9,5,8,5,4,8,12,102,60,42,7,7,8
Haders gonna Hate,2024-05-19,5,5,4,3,5,9,7,11,2,1,1,2,3,58,38,20,13,9,13
Hobo Ken,2024-05-19,6,12,2,5,8,2,5,3,6,11,6,10,6,82,40,42,8,8,8
Mighty Banshees,2024-05-19,14,9,13,13,4,10,11,13,12,10,4,8,12,133,74,59,2,2,3
Nola's Ark,2024-05-19,10,10,14,10,13,7,10,8,3,8,13,2,6,114,74,40,6,2,10
The Flying Rutschmen,2024-05-19,7,1,1,8,1,11,6,4,9,7,11,5,4,75,35,40,10,10,10
Lux Æterna,2024-05-19,3,6,7,5,7,3,2,2,6,9,9,4,5,68,33,35,12,11,12
Ya Gotta Beliebe,2024-05-19,4,2,4,10,2,5,3,7,4,12,10,7,9,79,30,49,9,12,5
Rochelle Rochelle the Musical,2024-05-19,9,8,11,3,11,12,13,9,9,14,11,10,9,129,67,62,3,5,2
HaberMetrics,2024-05-20,2,3,6,1,3,6,5,6,7,7,13,13,1,73,26,47,10,13,7
Boba Chette,2024-05-20,1,3,3,2,9,1,1,1,1,2,2,1,8,35,20,15,14,14,14
Bug Monty,2024-05-20,13,12,8,12,14,14,14,9,9,6,8,6,11,136,87,49,1,1,5
FightinHorse&Buggies,2024-05-20,11,14,11,7,12,4,9,14,13,14,8,14,2,133,68,65,3,5,1
Forever Jung,2024-05-20,8,7,12,14,10,13,12,13,14,3,2,10,12,130,76,54,4,2,4
Friends O'Clyde,2024-05-20,12,9,9,9,6,7,8,5,11,5,4,10,14,109,60,49,7,7,5
Haders gonna Hate,2024-05-20,5,5,5,4,4,9,7,9,2,1,1,2,4,58,39,19,13,8,13
Hobo Ken,2024-05-20,5,12,2,4,8,2,4,3,5,11,5,10,6,77,37,40,8,9,9
Mighty Banshees,2024-05-20,14,10,13,13,4,10,11,12,12,10,5,8,13,135,75,60,2,3,2
Nola's Ark,2024-05-20,9,10,14,10,13,8,10,6,3,8,14,3,6,114,74,40,6,4,9
The Flying Rutschmen,2024-05-20,5,1,1,7,1,11,6,4,8,4,8,5,3,64,32,32,11,10,11
Lux Æterna,2024-05-20,3,6,7,4,7,3,2,2,6,8,7,4,5,64,32,32,11,10,11
Ya Gotta Beliebe,2024-05-20,4,2,4,10,2,5,3,6,4,12,8,7,8,75,30,45,9,12,8
Rochelle Rochelle the Musical,2024-05-20,9,8,10,3,11,12,13,9,10,13,8,9,8,123,66,57,5,6,3
HaberMetrics,2024-05-21,2,3,7,1,3,6,5,5,6,7,13,13,1,72,27,45,10,13,7
Boba Chette,2024-05-21,1,3,3,2,9,1,1,1,1,2,1,1,9,35,20,15,14,14,14
Bug Monty,2024-05-21,13,13,8,13,14,14,14,9,8,5,7,5,11,134,89,45,2,1,7
FightinHorse&Buggies,2024-05-21,10,9,9,7,12,4,8,14,13,14,7,14,2,123,59,64,4,7,1
Forever Jung,2024-05-21,8,7,12,14,10,13,12,13,14,3,3,10,12,131,76,55,3,3,3
Friends O'Clyde,2024-05-21,12,9,10,9,5,7,9,5,12,6,4,12,13,113,61,52,6,6,5
Haders gonna Hate,2024-05-21,5,3,5,5,4,9,7,11,2,1,2,2,4,60,38,22,13,9,13
Hobo Ken,2024-05-21,7,9,2,6,8,2,5,3,5,10,5,10,5,77,39,38,8,8,11
Mighty Banshees,2024-05-21,14,13,14,12,5,11,11,12,11,9,5,8,13,138,80,58,1,2,2
