team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
Friends O'Clyde,2024-08-13,6,7,7,1,8,3,3,8,9,3,1,8,13,77,35,42,10,11,8
Haders gonna Hate,2024-08-13,3,3,3,7,4,7,4,4,2,1,1,3,4,46,31,15,13,12,13
Hobo Ken,2024-08-13,10,11,8,7,12,1,8,8,12,14,9,14,5,119,57,62,5,5,3
Mighty Banshees,2024-08-13,14,12,13,13,10,11,12,12,13,5,8,9,12,144,85,59,2,2,5
Nola's Ark,2024-08-13,9,10,11,5,9,6,7,5,7,10,9,5,11,104,57,47,6,5,7
The Flying Rutschmen,2024-08-13,8,4,5,10,3,9,6,6,4,8,13,4,1,81,45,36,8,8,10
Lux Æterna,2024-08-13,7,8,6,9,6,5,4,2,3,2,4,2,6,64,45,19,12,8,12
Ya Gotta Beliebe,2024-08-13,1,1,1,11,1,3,1,10,10,12,9,10,10,80,19,61,9,14,4
Rochelle Rochelle the Musical,2024-08-13,4,5,4,3,5,9,10,7,5,6,6,6,6,76,40,36,11,10,10
HaberMetrics,2024-08-14,5,6,10,5,2,12,9,3,6,9,14,7,3,91,49,42,7,7,9
Boba Chette,2024-08-14,2,2,2,2,11,1,2,1,1,7,1,1,2,35,22,13,14,13,14
Bug Monty,2024-08-14,13,13,9,14,14,14,14,9,8,13,11,11,14,157,91,66,1,1,1
FightinHorse&Buggies,2024-08-14,12,14,14,3,13,8,13,14,9,11,7,13,7,138,77,61,3,3,3
Forever Jung,2024-08-14,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-14,7,7,7,1,8,3,3,9,9,3,3,9,13,82,36,46,8,11,8
Haders gonna Hate,2024-08-14,3,3,3,7,4,7,4,4,2,1,1,3,4,46,31,15,13,12,13
Hobo Ken,2024-08-14,10,12,7,8,12,1,8,8,12,14,9,14,5,120,58,62,5,5,2
Mighty Banshees,2024-08-14,14,11,13,13,10,11,12,12,13,6,8,8,12,143,84,59,2,2,5
Nola's Ark,2024-08-14,9,10,11,5,9,6,6,5,7,10,11,5,11,105,56,49,6,6,7
The Flying Rutschmen,2024-08-14,8,4,5,10,3,9,6,6,5,8,13,4,1,82,45,37,8,8,10
Lux Æterna,2024-08-14,6,8,6,9,6,5,4,2,3,1,4,2,6,62,44,18,12,9,12
Ya Gotta Beliebe,2024-08-14,1,1,1,11,1,3,1,9,11,12,9,10,10,80,19,61,10,14,3
Rochelle Rochelle the Musical,2024-08-14,4,5,4,4,5,9,10,7,4,5,6,6,8,77,41,36,11,10,11
HaberMetrics,2024-08-15,5,6,10,5,2,11,9,3,6,9,14,7,3,90,48,42,7,7,9
Boba Chette,2024-08-15,2,2,2,2,11,1,2,1,1,7,1,1,2,35,22,13,14,13,14
Bug Monty,2024-08-15,13,13,9,14,14,14,14,11,10,13,10,11,14,160,91,69,1,1,1
FightinHorse&Buggies,2024-08-15,12,14,14,3,13,8,13,14,11,12,7,13,7,141,77,64,3,3,2
Forever Jung,2024-08-15,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-15,7,7,7,1,8,3,3,9,8,3,3,9,13,81,36,45,9,11,8
Haders gonna Hate,2024-08-15,3,3,3,7,4,7,5,4,2,2,1,3,4,48,32,16,13,12,13
Hobo Ken,2024-08-15,10,12,8,10,12,2,8,8,12,14,10,14,5,125,62,63,5,5,3
Mighty Banshees,2024-08-15,14,11,13,13,10,12,12,12,13,5,8,8,12,143,85,58,2,2,4
Nola's Ark,2024-08-15,9,10,11,6,9,6,7,5,7,10,10,5,11,106,58,48,6,6,7
The Flying Rutschmen,2024-08-15,8,4,5,9,3,10,6,6,5,8,13,4,1,82,45,37,8,8,10
Lux Æterna,2024-08-15,6,8,6,8,6,5,4,2,3,1,4,2,6,61,43,18,12,9,12
